scaled_x,scaled_y,scaled_z,U_profile,V_profile,W_profile,P_profile
-0.2267122,0.019806564,0.6657032,-0.0029051928,9.981471,-8.356021,0.22231759
0.25983676,0.13889685,0.7737482,-0.0028700372,9.988046,-8.362506,-0.027039872
-0.40609217,0.6202129,0.09359907,-0.0021560723,10.0036125,-8.379096,-0.39024982
-0.7474092,-0.2505023,0.9756741,-0.0031593693,10.012008,-8.386465,0.40157974
-0.42595616,0.47814617,0.61686105,-0.002907117,10.009781,-8.384647,0.13469984
0.48856628,-0.66768944,0.42497337,-0.0027117236,10.002784,-8.377415,-0.14297165
-0.08558485,0.047266018,0.3122686,-0.0029676622,9.976938,-8.351574,0.19334279
0.91736287,-0.3708595,0.07872695,-0.0030057477,10.001544,-8.375098,-0.027303489
-0.024985984,-0.24196272,0.6122003,-0.0029395083,9.995385,-8.369929,-0.007375924
-0.062169433,0.048351686,0.43594632,-0.0029243669,9.972988,-8.347577,0.16240115
-0.68061686,0.4396722,0.23515578,-0.0031909524,10.004494,-8.379044,-0.3970264
0.08003929,0.013934569,0.40110424,-0.0028135004,9.975233,-8.349807,0.07333405
-0.47486642,-0.49050283,0.274868,-0.0029810974,10.002858,-8.377578,0.332586
0.83045876,-0.315593,0.13326736,-0.0033064624,10.002666,-8.37651,-0.041335933
-0.12750843,-0.0013743439,0.08205111,-0.0031584362,10.021909,-8.3967495,0.21860705
0.16928704,-0.608896,0.39831698,-0.0030183187,10.001765,-8.376068,-0.09376585
-0.16449091,-0.04283226,0.3481987,-0.0028045839,9.984168,-8.358911,0.25277632
0.21032315,0.4830061,0.3965202,-0.0029389588,9.995507,-8.370171,0.034238033
0.106989995,-0.09581125,0.7933599,-0.0029036095,9.994483,-8.369014,-0.03886219
-0.23508714,0.13995406,0.39103115,-0.0029590568,9.999993,-8.374785,0.25388646
0.34060228,-0.5626112,0.7979745,-0.0028761318,10.002575,-8.376855,-0.13482516
-0.031670664,0.014933412,0.71558964,-0.0029101698,9.983563,-8.358024,0.07489881
0.18951419,0.52917576,0.7041871,-0.0028933408,9.996007,-8.370837,0.0352012
-0.019062465,0.012801075,0.97683436,-0.002986974,9.992925,-8.36737,0.017077716
0.40173447,-0.26022586,0.46501157,-0.0029938845,10.000569,-8.374848,-0.14202933
-0.3709451,-0.38523632,0.41428643,-0.0030115312,10.002767,-8.3774,0.35544688
-0.40876412,0.13451515,0.25634506,-0.003967372,10.025994,-8.400319,0.02190577
-0.4692643,0.30346316,0.6545015,-0.0031373473,10.009479,-8.384199,0.25834823
-0.3444032,-0.2936908,0.10867155,-0.0028393911,10.007229,-8.381807,0.20647153
-0.84825176,0.023050323,0.73299235,-0.003426575,10.003996,-8.37834,0.17403343
0.3268202,-0.7474945,0.11554264,-0.0029245866,10.004136,-8.378695,-0.10536039
-0.0019014167,0.2497665,0.7836478,-0.0028458918,9.988687,-8.363352,0.072757125
-0.17126407,0.17166272,0.38203138,-0.002978743,9.991914,-8.366634,0.20480567
0.73295337,-0.554831,0.5341377,-0.0025648894,10.002142,-8.376891,-0.12650111
0.54045993,0.4854775,0.9822675,-0.0028008642,9.998938,-8.373403,-0.07259818
0.6279889,-0.5258177,0.46678036,-0.0026369588,10.002674,-8.377269,-0.1399876
-0.005570225,0.34086093,0.09945269,-0.0028643413,10.00178,-8.376518,0.04757441
0.33217967,0.0943293,0.8048235,-0.0028604595,9.9908085,-8.365295,-0.05651114
0.50085115,0.25593427,0.39085928,-0.0028922139,9.994446,-8.368957,-0.03356977
0.5822408,-0.19779314,0.78792185,-0.0027146703,10.001653,-8.376249,-0.14201626
0.30874562,0.5569769,0.003706276,-0.0021238131,9.9951105,-8.370369,0.011534361
-0.37682667,-0.7203962,0.56815875,-0.0028172703,10.002493,-8.377201,0.39010257
-0.3586096,0.04595071,0.119158566,-0.00360779,10.029288,-8.403765,-0.061885044
-0.13292292,-0.5641565,0.2724525,-0.0030090986,9.998445,-8.373,0.16950254
-0.42685825,-0.05033993,0.2209878,-0.0034721429,10.022078,-8.396588,0.119744286
-0.06664527,-0.46317467,0.28772873,-0.0031982074,9.995023,-8.369466,0.062232926
0.20084162,-0.14707205,0.5536194,-0.002936677,9.9947405,-8.369228,-0.07427437
0.706033,-0.61172605,0.47587764,-0.0025670948,10.002026,-8.376864,-0.124097355
0.57823354,0.07224646,0.9612563,-0.0028158398,9.997625,-8.372202,-0.1096803
-0.20077355,-0.20122899,0.5698963,-0.0027800174,9.9929695,-8.3676815,0.17067288
-0.4784043,-0.0155539,0.37906027,-0.003291632,10.014599,-8.389229,0.27233043
-0.3501922,0.05041126,0.783521,-0.0028964626,9.989792,-8.364386,0.27289948
0.08828878,-0.13895962,0.8320237,-0.002913895,9.996706,-8.371256,-0.04863869
-0.67647475,-0.4409514,0.82558674,-0.002844437,10.003349,-8.378049,0.4235052
-0.2246982,0.32958522,0.685291,-0.0029505463,9.992001,-8.36673,0.16901919
0.0703799,-0.18021138,0.21067365,-0.0029060105,9.986251,-8.360926,-0.010229642
0.29405183,-0.3550887,0.8400467,-0.002890638,10.002426,-8.376816,-0.13877784
0.11734146,0.21612279,0.2558822,-0.002998707,9.982482,-8.356873,0.06736121
-0.7249099,0.63101065,0.7599897,-0.0037811985,10.001771,-8.375969,-0.111940384
0.09688151,-0.6421874,0.9530315,-0.002953128,10.001774,-8.375995,-0.067988135
0.58174646,-0.15043703,0.07316431,-0.0031358982,9.9986725,-8.373144,-0.032969467
